CONCURSO,R1,R2,R3,R4,R5,FECHA
33596,1,9,1,1,1,2020-03-10
33595,9,4,7,7,9,2020-03-10
33594,0,1,5,5,6,2020-03-11
33593,2,5,1,9,9,2020-03-11
33592,6,8,4,7,1,2020-03-11
33591,6,5,1,0,5,2020-03-11
33590,1,8,8,8,5,2020-03-11
33589,7,5,6,9,5,2020-03-12
33588,7,9,6,0,2,2020-03-12
33587,6,6,1,9,8,2020-03-12
33586,0,1,8,1,5,2020-03-12
33585,0,9,0,4,2,2020-03-12
33584,0,7,6,7,1,2020-03-13
33583,5,2,3,2,9,2020-03-13
33582,3,8,8,6,9,2020-03-13
33581,4,7,1,4,3,2020-03-13
33580,2,5,8,0,7,2020-03-13
33579,2,8,1,1,9,2020-03-14
33578,0,8,5,4,1,2020-03-14
33577,8,0,8,8,9,2020-03-14
33576,8,7,6,4,9,2020-03-14
33575,6,2,4,0,5,2020-03-14
33574,9,9,9,4,7,2020-03-15
33573,0,0,1,5,6,2020-03-15
33572,1,8,7,6,8,2020-03-15
33571,1,0,7,3,7,2020-03-15
33570,1,5,1,5,8,2020-03-15
33569,1,0,8,4,1,2020-03-16
33568,8,3,6,5,5,2020-03-16
33567,1,8,0,2,1,2020-03-16
33566,6,3,6,0,7,2020-03-16
33565,8,1,2,9,4,2020-03-16
33564,4,1,4,2,9,2020-03-17
33563,2,9,6,8,3,2020-03-17
33562,8,2,0,3,0,2020-03-17
33561,1,4,2,0,5,2020-03-17
33560,8,1,5,0,1,2020-03-17
33559,4,6,4,0,3,2020-03-18
33558,2,7,7,6,5,2020-03-18
33557,5,0,7,0,7,2020-03-18
33556,0,3,5,3,7,2020-03-18
33555,1,5,1,2,9,2020-03-18
33554,8,7,1,7,3,2020-03-19
33553,1,9,4,9,0,2020-03-19
33552,7,8,9,1,7,2020-03-19
33551,6,6,5,0,7,2020-03-19
33550,4,5,2,9,3,2020-03-19
33549,3,4,5,6,1,2020-03-20
33548,8,1,2,0,8,2020-03-20
33547,2,2,9,7,3,2020-03-20
33546,5,4,1,2,9,2020-03-20
33545,7,2,1,5,9,2020-03-20
33544,7,2,3,4,0,2020-03-21
33543,1,5,1,8,8,2020-03-21
33542,3,0,6,0,6,2020-03-21
33541,8,7,2,6,0,2020-03-21
33540,3,8,0,9,0,2020-03-21
33539,2,9,7,4,7,2020-03-22
33538,0,5,4,4,4,2020-03-22
33537,7,4,8,2,0,2020-03-22
33536,8,3,9,5,8,2020-03-22
33535,8,2,6,6,1,2020-03-22
33534,9,8,9,4,9,2020-03-23
33533,5,3,9,1,5,2020-03-23
33532,4,0,1,3,1,2020-03-23
33531,3,5,0,7,2,2020-03-23
33530,2,4,2,4,8,2020-03-23
33529,2,6,3,4,2,2020-03-24
33528,8,0,1,6,8,2020-03-24
33527,9,1,8,6,1,2020-03-24
33526,3,7,8,8,8,2020-03-24
33525,5,5,9,0,0,2020-03-24
33524,8,0,9,2,6,2020-03-25
33523,7,4,3,3,5,2020-03-25
33522,2,8,6,7,7,2020-03-25
33521,5,2,2,5,8,2020-03-25
33520,5,5,9,4,2,2020-03-25
33519,0,8,4,2,6,2020-03-26
33518,2,7,1,2,3,2020-03-26
33517,8,8,5,0,2,2020-03-26
33516,1,0,5,1,0,2020-03-26
33515,5,7,2,4,4,2020-03-26
33514,4,7,0,0,9,2020-03-27
33513,2,4,7,0,0,2020-03-27
33512,5,4,9,9,2,2020-03-27
33511,1,0,8,7,3,2020-03-27
33510,7,8,9,9,0,2020-03-27
33509,0,9,4,4,8,2020-03-28
33508,4,6,6,2,4,2020-03-28
33507,8,3,2,3,4,2020-03-28
33506,9,6,3,3,2,2020-03-28
33505,9,7,3,0,8,2020-03-28
33504,7,7,2,0,0,2020-03-29
33503,6,8,8,3,8,2020-03-29
33502,0,0,5,1,1,2020-03-29
33501,8,0,5,3,3,2020-03-29
33500,3,4,6,1,1,2020-03-29
33499,9,1,7,1,9,2020-03-30
33498,1,0,6,4,8,2020-03-30
33497,8,7,8,7,5,2020-03-30
33496,3,1,6,2,2,2020-03-30
33495,3,3,0,3,7,2020-03-30
33494,5,5,0,9,1,2020-03-31
33493,3,2,4,9,7,2020-03-31
33492,1,1,0,4,9,2020-03-31
33491,1,6,9,5,7,2020-03-31
33490,7,8,8,8,2,2020-03-31
33489,1,2,4,2,2,2020-04-01
33488,7,2,1,5,7,2020-04-01
33487,7,7,7,7,2,2020-04-01
33486,9,0,2,1,4,2020-04-01
33485,4,1,1,4,3,2020-04-01
33484,0,2,0,1,5,2020-07-23
33483,8,5,6,0,9,2020-07-23
33482,9,3,1,6,2,2020-07-23
33481,4,8,1,4,7,2020-07-23
33480,4,4,2,6,0,2020-07-23
33479,8,8,0,4,9,2020-07-24
33478,9,7,5,4,9,2020-07-24
33477,2,8,2,2,4,2020-07-24
33476,6,6,2,5,0,2020-07-24
33475,6,4,9,0,2,2020-07-24
33474,1,4,3,9,8,2020-07-25
33473,9,6,3,9,8,2020-07-25
33472,4,3,6,2,3,2020-07-25
33471,4,0,0,4,9,2020-07-25
33470,1,6,6,7,5,2020-07-25
33469,0,2,9,2,9,2020-07-26
33468,8,0,7,5,5,2020-07-26
33467,5,9,8,7,2,2020-07-26
33466,5,0,1,7,2,2020-07-26
33465,6,3,9,1,5,2020-07-26
33464,6,8,5,7,1,2020-07-27
33463,9,4,6,3,4,2020-07-27
33462,0,4,2,9,2,2020-07-27
33461,4,5,1,6,1,2020-07-27
33460,2,2,4,3,5,2020-07-27
33459,6,3,0,9,2,2020-07-28
33458,2,7,6,6,8,2020-07-28
33457,0,1,3,3,8,2020-07-28
33456,3,3,7,0,3,2020-07-28
33455,4,4,4,0,5,2020-07-28
33454,5,7,7,7,2,2020-07-29
33453,7,9,4,3,5,2020-07-29
33452,0,4,8,8,1,2020-07-29
33451,5,5,3,8,8,2020-07-29
33450,1,3,8,6,9,2020-07-29
33449,2,1,5,4,9,2020-07-30
33448,8,8,8,2,8,2020-07-30
33447,7,3,3,2,5,2020-07-30
33446,4,5,2,8,2,2020-07-30
33445,0,7,3,5,8,2020-07-30
33444,3,8,8,7,4,2020-07-31
33443,1,1,0,6,9,2020-07-31
33442,5,3,4,2,0,2020-07-31
33441,3,0,9,3,0,2020-07-31
33440,2,0,9,7,4,2020-07-31
33439,7,7,8,6,7,2020-08-01
33438,6,1,4,3,6,2020-08-01
33437,4,4,1,0,3,2020-08-01
33436,2,0,0,2,1,2020-08-01
33435,1,9,2,9,1,2020-08-01
33434,5,7,3,5,7,2020-08-02
33433,3,7,2,0,2,2020-08-02
33432,2,6,6,6,9,2020-08-02
33431,3,1,5,8,2,2020-08-02
33430,8,0,7,2,8,2020-08-02
33429,2,9,2,5,4,2020-08-03
33428,5,2,8,9,9,2020-08-03
33427,1,0,8,4,8,2020-08-03
33426,0,6,1,1,6,2020-08-03
33425,7,9,4,3,2,2020-08-03
33424,1,0,9,0,6,2020-08-04
33423,3,8,2,9,1,2020-08-04
33422,9,4,5,2,1,2020-08-04
33421,6,5,1,7,1,2020-08-04
33420,9,4,1,9,1,2020-08-04
33419,4,0,9,1,2,2020-08-05
33418,1,9,7,0,8,2020-08-05
33417,5,1,2,0,6,2020-08-05
33416,3,2,2,5,6,2020-08-05
33415,1,4,4,7,5,2020-08-05
33414,2,9,0,8,3,2020-08-06
33413,2,8,3,4,6,2020-08-06
33412,1,3,8,3,2,2020-08-06
33411,8,5,3,1,8,2020-08-06
33410,7,8,0,8,2,2020-08-06
33409,2,1,3,2,5,2020-08-07
33408,0,2,4,2,8,2020-08-07
33407,0,5,2,4,4,2020-08-07
33406,1,7,2,9,4,2020-08-07
33405,8,1,8,8,5,2020-08-07
33404,0,4,7,8,9,2020-08-08
33403,2,3,3,6,4,2020-08-08
33402,5,5,7,3,8,2020-08-08
33401,1,2,3,6,2,2020-08-08
33400,2,0,2,5,1,2020-08-08
33399,3,4,1,1,0,2020-08-09
33398,8,9,2,1,7,2020-08-09
33397,7,8,5,4,6,2020-08-09
33396,6,6,6,2,6,2020-08-09
33395,1,5,6,4,5,2020-08-09
33394,1,9,0,5,8,2020-08-10
33393,3,1,4,2,9,2020-08-10
33392,8,4,7,3,7,2020-08-10
33391,4,7,8,4,8,2020-08-10
33390,1,4,9,6,9,2020-08-10
33389,5,3,9,6,4,2020-08-11
33388,3,8,8,4,7,2020-08-11
33387,3,6,6,9,7,2020-08-11
33386,6,1,3,7,5,2020-08-11
33385,3,1,9,7,5,2020-08-11
33384,4,5,2,9,9,2020-08-12
33383,2,0,9,1,4,2020-08-12
33382,4,1,6,1,3,2020-08-12
33381,8,5,7,7,6,2020-08-12
33380,1,5,7,0,5,2020-08-12
33379,9,1,8,7,0,2020-08-13
33378,2,7,7,6,0,2020-08-13
33377,2,4,0,9,7,2020-08-13
33376,4,0,5,3,1,2020-08-13
33375,8,5,3,1,2,2020-08-13
33374,1,6,5,5,7,2020-08-14
33373,7,3,0,2,3,2020-08-14
33372,9,4,5,6,1,2020-08-14
33371,0,1,5,4,5,2020-08-14
33370,5,0,3,7,7,2020-08-14
33369,2,2,1,7,4,2020-08-15
33368,3,1,9,6,5,2020-08-15
33367,4,9,8,0,8,2020-08-15
33366,6,8,1,3,4,2020-08-15
33365,4,0,3,1,9,2020-08-15
33364,4,1,6,6,1,2020-08-16
33363,1,4,8,2,5,2020-08-16
33362,3,9,6,0,8,2020-08-16
33361,0,6,0,8,0,2020-08-16
33360,9,9,7,6,5,2020-08-16
33359,1,1,4,3,2,2020-08-17
33358,5,7,5,7,9,2020-08-17
33357,3,5,6,7,3,2020-08-17
33356,4,7,1,8,3,2020-08-17
33355,9,7,4,9,0,2020-08-17
33354,9,3,1,1,7,2020-08-18
33353,6,8,1,8,3,2020-08-18
33352,8,1,7,7,8,2020-08-18
33351,4,3,0,4,6,2020-08-18
33350,8,3,4,8,7,2020-08-18
33349,5,3,1,9,2,2020-08-19
33348,5,3,1,4,3,2020-08-19
33347,9,1,8,4,2,2020-08-19
33346,7,6,1,3,3,2020-08-19
33345,7,4,4,8,4,2020-08-19
33344,3,5,5,7,7,2020-08-20
33343,2,6,1,7,2,2020-08-20
33342,2,9,2,1,6,2020-08-20
33341,8,4,9,1,3,2020-08-20
33340,9,2,9,8,5,2020-08-20
33339,1,8,2,2,3,2020-08-21
33338,7,0,9,4,5,2020-08-21
33337,9,7,7,7,3,2020-08-21
33336,5,6,4,5,3,2020-08-21
33335,3,9,6,5,1,2020-08-21
33334,4,3,2,7,6,2020-08-22
33333,7,4,1,8,2,2020-08-22
33332,0,8,0,2,9,2020-08-22
33331,7,6,9,7,6,2020-08-22
33330,4,5,4,6,4,2020-08-22
33329,9,2,0,0,4,2020-08-23
33328,3,1,9,6,8,2020-08-23
33327,9,9,3,8,7,2020-08-23
33326,4,5,8,0,3,2020-08-23
33325,2,5,1,7,9,2020-08-23
33324,7,6,7,3,0,2020-08-24
33323,7,9,9,6,0,2020-08-24
33322,8,0,2,3,4,2020-08-24
33321,7,6,1,1,5,2020-08-24
33320,3,6,6,9,5,2020-08-24
33319,1,9,1,1,0,2020-08-25
33318,5,3,0,7,8,2020-08-25
33317,4,7,1,9,0,2020-08-25
33316,1,6,2,9,1,2020-08-25
33315,0,2,8,9,3,2020-08-25
33314,5,2,9,2,4,2020-08-26
33313,1,9,0,5,5,2020-08-26
33312,5,2,0,7,8,2020-08-26
33311,9,7,6,7,1,2020-08-26
33310,2,2,8,5,7,2020-08-26
33309,8,8,2,3,4,2020-08-27
33308,5,9,9,9,6,2020-08-27
33307,5,7,1,5,9,2020-08-27
33306,5,1,6,7,7,2020-08-27
33305,2,8,3,8,9,2020-08-27
33304,2,9,4,5,5,2020-08-28
33303,3,0,8,8,8,2020-08-28
33302,9,8,3,6,9,2020-08-28
33301,4,3,7,9,0,2020-08-28
33300,7,3,6,8,0,2020-08-28
33299,7,1,3,3,4,2020-08-29
33298,1,2,4,6,2,2020-08-29
33297,7,6,4,2,6,2020-08-29
33296,7,3,8,7,1,2020-08-29
33295,2,8,3,9,3,2020-08-29
33294,6,7,9,9,1,2020-08-30
33293,7,3,8,4,7,2020-08-30
33292,8,2,8,2,7,2020-08-30
33291,4,0,1,8,2,2020-08-30
33290,0,8,4,3,7,2020-08-30
33289,2,1,3,9,7,2020-08-31
33288,5,3,8,2,8,2020-08-31
33287,8,2,1,8,6,2020-08-31
33286,9,5,4,1,1,2020-08-31
33285,6,2,3,2,9,2020-08-31
33284,7,4,9,4,5,2020-09-01
33283,9,8,7,1,3,2020-09-01
33282,2,1,8,3,1,2020-09-01
33281,8,2,6,1,4,2020-09-01
33280,9,8,0,9,1,2020-09-01
33279,6,2,0,6,9,2020-09-02
33278,0,6,6,7,5,2020-09-02
33277,8,5,7,6,5,2020-09-02
33276,4,6,7,1,9,2020-09-02
33275,5,3,7,3,5,2020-09-02
33274,0,5,5,8,0,2020-09-03
33273,4,0,8,2,6,2020-09-03
33272,4,6,7,4,8,2020-09-03
33271,7,6,9,7,3,2020-09-03
33270,4,5,7,2,6,2020-09-03
33269,4,9,4,7,6,2020-09-04
33268,9,0,7,5,6,2020-09-04
33267,0,9,2,5,4,2020-09-04
33266,5,9,2,3,8,2020-09-04
33265,0,3,1,0,7,2020-09-04
33264,2,3,3,7,9,2020-09-05
33263,2,5,9,3,8,2020-09-05
33262,4,4,8,1,4,2020-09-05
33261,6,4,5,0,3,2020-09-05
33260,5,7,8,9,7,2020-09-05
33259,6,3,6,4,0,2020-09-06
33258,0,7,4,0,2,2020-09-06
33257,8,4,9,2,7,2020-09-06
33256,1,4,5,2,7,2020-09-06
33255,9,9,4,9,9,2020-09-06
33254,8,6,9,9,7,2020-09-07
33253,5,1,2,9,7,2020-09-07
33252,6,6,7,0,0,2020-09-07
33251,3,2,2,6,5,2020-09-07
33250,7,9,5,8,7,2020-09-07
33249,6,2,0,1,3,2020-09-08
33248,7,1,6,4,2,2020-09-08
33247,2,8,3,9,6,2020-09-08
33246,8,3,7,6,7,2020-09-08
33245,3,7,6,7,7,2020-09-08
33244,7,0,4,1,4,2020-09-09
33243,1,8,2,4,6,2020-09-09
33242,0,3,7,6,8,2020-09-09
33241,1,9,1,1,4,2020-09-09
33240,7,7,3,3,9,2020-09-09
33239,1,0,4,6,1,2020-09-10
33238,5,2,8,9,3,2020-09-10
33237,4,0,6,6,0,2020-09-10
33236,9,5,4,1,1,2020-09-10
33235,0,0,5,9,2,2020-09-10
33234,6,9,8,8,4,2020-09-11
33233,7,6,1,6,9,2020-09-11
33232,4,8,4,4,0,2020-09-11
33231,8,7,8,8,9,2020-09-11
33230,0,1,3,7,0,2020-09-11
33229,7,8,7,1,9,2020-09-12
33228,3,8,4,0,8,2020-09-12
33227,4,1,5,6,8,2020-09-12
33226,2,4,1,9,9,2020-09-12
33225,4,0,2,9,5,2020-09-12
33224,9,7,4,7,8,2020-09-13
33223,7,8,8,6,7,2020-09-13
33222,7,9,8,7,3,2020-09-13
33221,3,6,6,3,0,2020-09-13
33220,1,1,8,7,9,2020-09-13
33219,7,7,0,9,3,2020-09-14
33218,3,0,4,9,7,2020-09-14
33217,6,8,1,8,9,2020-09-14
33216,4,1,0,0,7,2020-09-14
33215,8,3,7,1,5,2020-09-14
33214,3,0,0,5,9,2020-09-15
33213,1,3,4,3,5,2020-09-15
33212,3,3,0,5,3,2020-09-15
33211,4,3,9,2,0,2020-09-15
33210,0,2,0,4,0,2020-09-15
33209,2,9,9,2,6,2020-09-16
33208,2,7,7,3,9,2020-09-16
33207,1,1,5,6,2,2020-09-16
33206,4,4,5,7,8,2020-09-16
33205,3,3,9,7,7,2020-09-16
33204,8,5,7,4,5,2020-09-17
33203,4,5,5,4,1,2020-09-17
33202,0,2,7,4,6,2020-09-17
33201,0,8,5,0,3,2020-09-17
33200,1,7,1,4,9,2020-09-17
33199,7,8,0,8,9,2020-09-18
33198,8,5,9,1,1,2020-09-18
33197,1,1,8,6,4,2020-09-18
33196,4,3,0,5,6,2020-09-18
33195,0,1,0,7,5,2020-09-18
33194,6,5,4,0,0,2020-09-19
33193,7,4,5,6,8,2020-09-19
33192,9,8,9,6,1,2020-09-19
33191,7,4,6,8,1,2020-09-19
33190,7,0,5,4,7,2020-09-19
33189,1,0,9,3,0,2020-09-20
33188,5,0,9,2,2,2020-09-20
33187,4,9,9,0,7,2020-09-20
33186,5,7,7,1,8,2020-09-20
33185,3,1,2,8,7,2020-09-20
33184,9,4,4,3,2,2020-09-21
33183,7,9,2,0,4,2020-09-21
33182,7,4,2,8,7,2020-09-21
33181,8,2,5,0,9,2020-09-21
33180,5,2,9,4,8,2020-09-21
33179,7,0,1,4,1,2020-09-22
33178,8,3,6,1,1,2020-09-22
33177,5,7,0,8,2,2020-09-22
33176,4,7,1,7,9,2020-09-22
33175,1,9,9,7,1,2020-09-22
33174,5,7,3,9,6,2020-09-23
33173,5,6,4,9,6,2020-09-23
33172,8,8,6,8,4,2020-09-23
33171,8,1,0,9,5,2020-09-23
33170,8,4,7,8,3,2020-09-23
33169,9,3,2,7,6,2020-09-24
33168,4,6,0,7,8,2020-09-24
33167,0,4,6,8,7,2020-09-24
33166,4,9,5,4,7,2020-09-24
33165,0,6,5,7,4,2020-09-24
33164,1,5,7,2,5,2020-09-25
33163,3,3,8,3,6,2020-09-25
33162,8,1,0,1,7,2020-09-25
33161,6,8,7,0,4,2020-09-25
33160,3,9,4,0,8,2020-09-25
33159,2,6,0,5,8,2020-09-26
33158,3,4,5,8,8,2020-09-26
33157,8,9,2,8,9,2020-09-26
33156,0,2,5,7,3,2020-09-26
33155,8,5,3,6,9,2020-09-26
33154,5,9,5,3,4,2020-09-27
33153,2,0,2,0,7,2020-09-27
33152,2,6,1,6,7,2020-09-27
33151,2,2,9,9,1,2020-09-27
33150,2,2,9,5,2,2020-09-27
33149,1,0,7,5,0,2020-09-28
33148,0,2,8,9,2,2020-09-28
33147,1,8,7,1,3,2020-09-28
33146,6,9,6,3,3,2020-09-28
33145,7,8,2,0,0,2020-09-28
33144,7,2,5,5,8,2020-09-29
33143,2,3,5,4,7,2020-09-29
33142,3,7,8,5,1,2020-09-29
33141,0,1,4,2,3,2020-09-29
33140,2,6,9,6,8,2020-09-29
33139,0,3,4,6,3,2020-09-30
33138,1,5,0,4,8,2020-09-30
33137,2,2,1,0,7,2020-09-30
33136,3,9,9,2,3,2020-09-30
33135,3,6,2,7,5,2020-09-30
33134,5,7,3,0,4,2020-10-01
33133,7,8,3,1,5,2020-10-01
33132,8,9,4,9,9,2020-10-01
33131,0,1,2,3,3,2020-10-01
33130,1,0,9,1,8,2020-10-01
33129,4,5,6,0,3,2020-10-02
33128,0,1,4,9,8,2020-10-02
33127,6,8,8,7,0,2020-10-02
33126,7,5,9,3,5,2020-10-02
33125,2,8,0,7,6,2020-10-02
33124,8,6,4,9,9,2020-10-03
33123,4,8,7,4,7,2020-10-03
33122,6,3,4,5,3,2020-10-03
33121,4,4,8,8,1,2020-10-03
33120,3,9,4,5,3,2020-10-03
33119,3,2,5,5,9,2020-10-04
33118,3,8,3,6,2,2020-10-04
33117,7,0,3,3,6,2020-10-04
33116,2,1,1,6,0,2020-10-04
33115,0,4,7,1,9,2020-10-04
33114,7,8,6,6,0,2020-10-05
33113,4,5,9,8,9,2020-10-05
33112,9,2,3,8,6,2020-10-05
33111,8,1,9,6,0,2020-10-05
33110,3,1,4,1,2,2020-10-05
33109,8,1,0,1,8,2020-10-06
33108,4,6,8,0,9,2020-10-06
33107,4,1,4,1,8,2020-10-06
33106,0,4,9,9,0,2020-10-06
33105,4,7,8,0,9,2020-10-06
33104,3,6,8,1,6,2020-10-07
33103,0,0,2,5,6,2020-10-07
33102,2,1,0,9,2,2020-10-07
33101,1,3,2,7,8,2020-10-07
33100,0,7,9,6,7,2020-10-07
33099,8,0,7,7,3,2020-10-08
33098,0,5,7,8,7,2020-10-08
33097,0,4,1,9,6,2020-10-08
33096,8,0,6,9,8,2020-10-08
33095,6,0,8,8,9,2020-10-08
33094,0,8,9,5,1,2020-10-09
33093,2,2,7,7,1,2020-10-09
33092,1,4,1,7,8,2020-10-09
33091,0,2,2,5,0,2020-10-09
33090,1,4,0,0,9,2020-10-09
33089,2,1,8,6,0,2020-10-10
33088,2,8,0,1,1,2020-10-10
33087,9,2,9,5,6,2020-10-10
33086,2,3,1,3,1,2020-10-10
33085,4,5,4,0,0,2020-10-10
33084,1,3,7,2,2,2020-10-11
33083,2,6,3,3,9,2020-10-11
33082,0,2,7,1,2,2020-10-11
33081,6,8,3,7,9,2020-10-11
33080,9,9,2,6,5,2020-10-11
33079,8,6,3,4,9,2020-10-12
33078,0,3,8,6,7,2020-10-12
33077,0,5,6,0,3,2020-10-12
33076,7,5,8,6,3,2020-10-12
33075,4,1,5,3,2,2020-10-12
33074,5,6,8,2,6,2020-10-13
33073,6,5,1,3,2,2020-10-13
33072,3,0,3,7,1,2020-10-13
33071,8,5,1,8,4,2020-10-13
33070,6,5,4,0,5,2020-10-13
33069,7,7,9,8,3,2020-10-14
33068,3,2,6,8,8,2020-10-14
33067,5,1,3,4,4,2020-10-14
33066,9,8,1,1,1,2020-10-14
33065,2,2,6,0,6,2020-10-14
33064,0,5,9,1,0,2020-10-15
33063,9,5,4,7,5,2020-10-15
33062,3,4,7,6,2,2020-10-15
33061,3,3,7,9,6,2020-10-15
33060,6,8,4,0,3,2020-10-15
33059,9,6,1,7,3,2020-10-16
33058,8,0,7,9,9,2020-10-16
33057,5,1,8,7,4,2020-10-16
33056,7,8,1,5,4,2020-10-16
33055,8,0,2,3,3,2020-10-16
33054,7,1,2,6,7,2020-10-17
33053,7,6,2,7,1,2020-10-17
33052,3,2,0,0,6,2020-10-17
33051,9,8,9,5,4,2020-10-17
33050,8,0,1,8,5,2020-10-17
33049,6,4,0,5,4,2020-10-18
33048,1,6,1,2,7,2020-10-18
33047,9,8,9,8,7,2020-10-18
33046,9,7,3,4,0,2020-10-18
33045,2,2,5,4,6,2020-10-18
33044,7,0,0,8,5,2020-10-19
33043,7,4,3,7,7,2020-10-19
33042,7,6,7,9,5,2020-10-19
33041,8,9,6,4,3,2020-10-19
33040,3,6,5,6,7,2020-10-19
33039,0,9,5,6,9,2020-10-20
33038,0,8,7,4,1,2020-10-20
33037,3,4,3,1,9,2020-10-20
33036,7,6,3,1,6,2020-10-20
33035,6,0,9,1,3,2020-10-20
33034,5,1,6,4,8,2020-10-21
33033,5,8,3,5,3,2020-10-21
33032,6,3,5,8,1,2020-10-21
33031,4,1,8,5,9,2020-10-21
33030,9,1,9,0,0,2020-10-21
33029,5,0,5,9,0,2020-10-22
33028,5,5,2,3,6,2020-10-22
33027,4,5,5,8,7,2020-10-22
33026,6,3,4,5,5,2020-10-22
33025,8,4,7,3,2,2020-10-22
33024,5,1,4,9,4,2020-10-23
33023,6,1,8,1,3,2020-10-23
33022,4,0,7,1,3,2020-10-23
33021,7,9,6,1,9,2020-10-23
33020,3,4,7,4,2,2020-10-23
33019,3,5,3,4,4,2020-10-24
33018,2,2,4,8,7,2020-10-24
33017,5,2,1,1,4,2020-10-24
33016,2,5,6,2,5,2020-10-24
33015,5,0,3,9,1,2020-10-24
33014,4,6,6,9,6,2020-10-25
33013,7,5,7,6,0,2020-10-25
33012,4,5,8,8,2,2020-10-25
33011,9,5,7,5,9,2020-10-25
33010,9,6,3,8,2,2020-10-25
33009,7,4,3,3,6,2020-10-26
33008,7,3,7,7,2,2020-10-26
33007,9,6,0,3,4,2020-10-26
33006,4,2,3,1,5,2020-10-26
33005,6,0,8,2,2,2020-10-26
33004,7,0,2,6,1,2020-10-27
33003,5,7,6,8,7,2020-10-27
33002,0,1,3,2,0,2020-10-27
33001,7,6,1,0,0,2020-10-27
33000,2,3,9,6,8,2020-10-27
32999,9,4,9,6,0,2020-10-28
32998,1,6,6,5,8,2020-10-28
32997,9,1,3,1,0,2020-10-28
32996,3,6,3,0,2,2020-10-28
32995,1,1,0,5,9,2020-10-28
32994,5,4,2,2,5,2020-10-29
32993,8,5,4,7,0,2020-10-29
32992,6,4,9,6,4,2020-10-29
32991,7,3,6,2,2,2020-10-29
32990,0,0,7,9,3,2020-10-29
32989,2,6,4,1,0,2020-10-30
32988,3,6,5,0,5,2020-10-30
32987,5,2,8,3,0,2020-10-30
32986,1,1,3,7,9,2020-10-30
32985,2,1,5,7,2,2020-10-30
32984,9,4,2,8,0,2020-10-31
32983,4,4,6,9,4,2020-10-31
32982,4,4,3,4,9,2020-10-31
32981,1,0,6,7,4,2020-10-31
32980,5,6,7,3,1,2020-10-31
32979,1,1,3,9,3,2020-11-01
32978,8,9,9,5,7,2020-11-01
32977,4,5,3,4,7,2020-11-01
32976,0,6,9,6,1,2020-11-01
32975,6,3,5,3,8,2020-11-01
32974,2,9,6,9,9,2020-11-02
32973,1,5,7,3,0,2020-11-02
32972,6,9,0,7,0,2020-11-02
32971,0,8,2,3,8,2020-11-02
32970,9,4,0,1,4,2020-11-02
32969,6,3,2,6,1,2020-11-03
32968,0,4,1,2,3,2020-11-03
32967,8,8,1,9,3,2020-11-03
32966,3,5,2,8,8,2020-11-03
32965,5,6,5,7,4,2020-11-03
32964,4,2,1,9,9,2020-11-04
32963,0,6,1,7,4,2020-11-04
32962,0,5,1,7,2,2020-11-04
32961,3,8,5,0,9,2020-11-04
32960,9,1,9,1,7,2020-11-04
32959,9,4,4,7,3,2020-11-05
32958,5,3,4,5,1,2020-11-05
32957,4,6,8,3,4,2020-11-05
32956,5,1,8,8,1,2020-11-05
32955,1,3,2,3,6,2020-11-05
32954,9,6,8,3,1,2020-11-06
32953,6,1,2,8,6,2020-11-06
32952,2,4,5,3,4,2020-11-06
32951,7,9,1,8,6,2020-11-06
32950,7,3,8,8,0,2020-11-06
32949,3,1,7,6,8,2020-11-07
32948,2,9,0,0,0,2020-11-07
32947,5,9,4,9,4,2020-11-07
32946,0,9,0,2,7,2020-11-07
32945,4,7,6,9,9,2020-11-07
32944,7,2,7,7,7,2020-11-08
32943,8,5,9,6,6,2020-11-08
32942,1,4,5,1,1,2020-11-08
32941,5,0,9,4,3,2020-11-08
32940,3,4,5,7,2,2020-11-08
32939,5,1,8,8,3,2020-11-09
32938,4,1,5,0,8,2020-11-09
32937,1,3,8,3,5,2020-11-09
32936,0,4,4,2,1,2020-11-09
32935,0,3,0,9,1,2020-11-09
32934,4,7,3,8,3,2020-11-10
32933,3,4,1,7,2,2020-11-10
32932,4,7,6,9,9,2020-11-10
32931,5,2,0,9,3,2020-11-10
32930,9,0,1,8,1,2020-11-10
32929,3,2,1,3,7,2020-11-11
32928,5,4,1,6,5,2020-11-11
32927,1,4,9,7,3,2020-11-11
32926,2,4,0,8,3,2020-11-11
32925,8,1,3,2,1,2020-11-11
32924,1,9,0,6,5,2020-11-12
32923,4,1,1,7,9,2020-11-12
32922,4,3,2,5,6,2020-11-12
32921,9,3,8,7,7,2020-11-12
32920,3,4,0,3,7,2020-11-12
32919,0,8,1,8,2,2020-11-13
32918,0,0,9,3,8,2020-11-13
32917,8,3,9,5,3,2020-11-13
32916,5,0,4,0,1,2020-11-13
32915,1,9,5,6,4,2020-11-13
32914,3,5,2,6,8,2020-11-14
32913,2,5,3,0,3,2020-11-14
32912,6,0,0,4,4,2020-11-14
32911,3,7,7,9,4,2020-11-14
32910,2,6,7,4,9,2020-11-14
32909,7,9,2,6,5,2020-11-15
32908,9,0,1,2,4,2020-11-15
32907,9,2,6,8,0,2020-11-15
32906,3,0,2,2,7,2020-11-15
32905,8,8,7,5,6,2020-11-15
32904,5,9,0,9,2,2020-11-16
32903,6,6,5,5,6,2020-11-16
32902,6,7,9,7,7,2020-11-16
32901,3,9,0,8,8,2020-11-16
32900,0,1,5,4,1,2020-11-16
32899,2,5,4,3,5,2020-11-17
