CONCURSO,R1,R2,R3,R4,R5,FECHA
47541,8,9,2,9,2,2008-02-11
47540,3,8,8,0,4,2008-02-12
47539,6,5,9,2,4,2008-02-12
47538,1,8,2,7,2,2008-02-13
47537,3,0,1,2,1,2008-02-13
47536,3,8,4,5,7,2008-02-14
47535,0,9,3,6,7,2008-02-14
47534,3,5,4,7,3,2008-02-15
47533,0,3,0,6,1,2008-02-15
47532,2,7,2,0,7,2008-02-16
47531,2,5,3,9,6,2008-02-16
47530,8,0,6,4,2,2008-02-17
47529,7,1,5,8,5,2008-02-17
47528,4,8,3,9,7,2008-02-18
47527,2,0,9,6,7,2008-02-18
47526,7,8,7,5,3,2008-02-19
47525,0,3,8,6,9,2008-02-19
47524,1,3,6,5,3,2008-02-20
47523,6,8,5,6,5,2008-02-20
47522,4,2,7,1,8,2008-02-21
47521,1,0,9,2,4,2008-02-21
47520,5,1,8,8,0,2008-02-22
47519,0,1,4,6,5,2008-02-22
47518,7,9,9,0,7,2008-02-23
47517,1,1,4,1,5,2008-02-23
47516,6,5,7,1,4,2008-02-24
47515,8,3,9,3,5,2008-02-24
47514,5,8,4,2,3,2008-02-25
47513,5,1,3,6,2,2008-02-25
47512,2,3,8,2,1,2008-02-26
47511,4,5,9,9,8,2008-02-26
47510,9,6,1,1,6,2008-02-27
47509,9,4,0,8,1,2008-02-27
47508,8,9,0,7,3,2008-02-28
47507,5,2,8,2,3,2008-02-28
47506,0,1,3,9,2,2008-02-29
47505,4,5,8,1,2,2008-02-29
47504,1,1,6,7,7,2008-03-01
47503,9,7,5,9,8,2008-03-01
47502,3,0,7,7,9,2008-03-02
47501,9,1,3,3,6,2008-03-02
47500,3,3,6,9,2,2008-03-03
47499,8,8,5,8,4,2008-03-03
47498,0,6,6,0,7,2008-03-04
47497,8,9,8,9,7,2008-03-04
47496,2,3,2,8,8,2008-03-05
47495,4,8,4,4,2,2008-03-05
47494,9,0,1,5,9,2008-03-06
47493,5,5,2,9,1,2008-03-06
47492,8,2,7,6,2,2008-03-07
47491,5,8,3,0,4,2008-03-07
47490,9,0,6,1,8,2008-03-08
47489,8,6,3,9,1,2008-03-08
47488,2,8,3,2,9,2008-03-09
