CONCURSO,ID,F1,F2,F3,F4,F5,F6,FECHA,PRIMOS,REPETIDOS,MEDIA
3782,21335983,9,20,29,43,46,49,2023-08-13,2,1,32.7
3781,30413490,20,28,33,51,52,53,2023-08-11,1,0,39.5
3780,346072,1,3,5,13,17,34,2023-08-09,4,0,12.2
3779,31935084,27,31,36,43,44,51,2023-08-06,2,1,38.7
3778,23418244,11,14,21,32,43,54,2023-08-04,2,0,29.2
3777,14941239,6,9,15,36,39,44,2023-08-02,0,1,24.8
3776,20524359,9,12,14,18,40,46,2023-07-30,0,0,23.2
3775,14250543,5,24,35,37,42,44,2023-07-28,2,1,31.2
3774,15034949,6,9,34,35,36,43,2023-07-26,1,1,27.2
3773,15933165,6,17,19,30,38,40,2023-07-23,2,2,25
3772,19544551,8,17,18,30,36,45,2023-07-21,1,1,25.7
3771,31331130,23,34,38,43,45,53,2023-07-19,3,2,39.3
3770,32369319,34,35,37,44,45,52,2023-07-16,1,1,41.2
3769,20502480,9,11,35,40,43,55,2023-07-14,2,0,32.2
3768,9519183,4,5,6,15,18,46,2023-07-12,1,0,15.7
3767,21547066,9,25,31,36,42,51,2023-07-09,1,1,32.3
3766,15806897,6,15,28,38,39,42,2023-07-07,0,0,28
3765,9289253,3,24,29,30,37,50,2023-07-05,3,0,28.8
3764,20949895,9,15,25,47,49,56,2023-07-02,1,1,33.5
3763,18724549,8,10,15,43,45,46,2023-06-30,1,1,27.8
3762,31313201,23,32,36,43,48,52,2023-06-28,2,1,39
3761,10849812,4,11,24,31,43,49,2023-06-25,3,1,27
3760,12980049,5,10,15,21,29,49,2023-06-23,2,1,21.5
3759,27816152,15,26,31,39,45,51,2023-06-21,1,0,34.5
3758,3992057,2,4,22,27,35,42,2023-06-18,1,0,22
3757,926949,1,5,8,19,28,32,2023-06-16,2,0,15.5
3756,27007195,14,24,31,35,42,48,2023-06-14,1,0,32.3
3755,11332099,4,15,26,37,46,56,2023-06-11,1,0,30.7
3754,18624032,8,9,24,29,44,54,2023-06-09,1,1,28
3753,23968371,11,21,26,29,47,49,2023-06-07,3,1,30.5
3752,16280811,6,22,29,37,39,42,2023-06-04,2,0,29.2
3751,22701734,10,20,28,31,41,45,2023-06-02,2,1,29.2
3750,26435413,14,15,24,33,41,53,2023-05-31,2,0,30
3749,21677103,9,31,44,46,50,56,2023-05-28,1,0,39.3
3748,28887564,17,22,24,27,28,55,2023-05-26,1,0,28.8
3747,21816776,10,11,20,26,41,44,2023-05-24,2,0,25.3
3746,2670529,1,15,21,22,25,31,2023-05-21,1,0,19.2
3745,11906580,4,24,40,46,50,51,2023-05-19,0,0,35.8
3744,17157622,7,11,15,27,31,41,2023-05-17,4,0,22
3743,8770726,3,16,18,19,20,49,2023-05-14,2,0,20.8
3742,22520651,10,17,36,42,55,56,2023-05-12,1,0,36
3741,28475523,16,26,32,35,44,51,2023-05-10,0,0,34
3740,6682048,3,4,7,8,17,21,2023-05-07,3,0,10
3739,22403622,10,16,24,27,29,34,2023-05-05,1,1,23.3
3738,16264173,6,22,25,27,37,39,2023-05-03,1,2,26
3737,31612513,25,27,43,45,52,55,2023-04-30,1,0,41.2
3736,10461148,4,9,14,30,32,33,2023-04-28,0,1,20.3
3735,27017512,14,24,38,39,49,55,2023-04-26,0,1,36.5
3734,5748359,2,14,23,36,37,43,2023-04-23,4,3,25.8
3733,4697121,2,7,24,36,38,43,2023-04-21,3,1,25
3732,3597626,2,3,10,15,41,46,2023-04-19,3,1,19.5
3731,22408338,10,16,25,27,39,40,2023-04-16,0,0,26.2
3730,24388595,12,13,21,23,29,32,2023-04-14,3,0,21.7
3729,7301371,3,6,17,18,39,54,2023-04-12,2,1,22.8
3728,1422709,1,7,11,45,52,54,2023-04-09,2,1,28.3
3727,5867060,2,15,27,37,42,54,2023-04-07,2,0,29.5
3726,8819232,3,16,25,32,35,39,2023-04-05,1,1,25
3725,30388430,20,27,31,39,40,47,2023-04-02,2,0,34
3724,15721831,6,14,36,42,48,56,2023-03-31,0,2,33.7
3723,23024039,10,30,32,36,48,52,2023-03-29,0,0,34.7
3722,487306,1,3,14,17,19,21,2023-03-26,3,1,12.5
3721,30060716,19,29,40,42,49,55,2023-03-24,2,0,39
3720,27705218,15,23,26,32,45,46,2023-03-22,1,0,31.2
3719,12186128,5,6,11,24,40,43,2023-03-19,3,3,21.5
3718,12807834,5,9,14,24,31,43,2023-03-17,3,0,21
3717,9064405,3,19,32,50,52,54,2023-03-15,2,2,35
3716,11615926,4,19,21,23,32,55,2023-03-12,2,1,25.7
3715,703878,1,4,10,13,28,37,2023-03-10,2,2,15.5
3714,17021433,7,10,16,37,44,48,2023-03-08,2,0,27
3713,32283226,31,39,40,47,50,53,2023-03-05,3,0,43.3
3712,24454006,12,14,15,28,38,45,2023-03-03,0,0,25.3
3711,15836059,6,16,17,35,43,46,2023-03-01,2,0,27.2
3710,18332879,7,26,33,42,50,55,2023-02-26,1,0,35.5
3709,1722275,1,8,23,29,30,44,2023-02-24,2,0,22.5
3708,7382918,3,6,33,42,45,52,2023-02-22,1,1,30.2
3707,23367524,11,14,15,27,33,49,2023-02-19,1,1,24.8
3706,27175570,14,32,37,39,50,51,2023-02-17,1,0,37.2
3705,12373065,5,7,9,40,42,45,2023-02-15,2,0,24.7
3704,22248041,10,14,39,41,44,49,2023-02-12,1,0,32.8
3703,14143523,5,22,24,36,42,50,2023-02-10,1,0,29.8
3702,16907735,7,9,23,32,54,55,2023-02-08,2,1,30
3701,31900472,27,29,32,34,46,53,2023-02-05,2,1,36.8
3700,26101064,13,23,25,32,42,54,2023-02-03,2,2,31.5
3699,25708221,13,16,36,38,42,55,2023-02-01,1,2,33.3
3698,2133456,1,11,13,46,50,55,2023-01-29,2,2,29.3
3697,25457880,13,14,20,25,48,50,2023-01-27,1,3,28.3
3696,5045468,2,9,20,29,48,50,2023-01-25,2,0,26.3
3695,8285859,3,11,38,44,45,53,2023-01-22,2,0,29
3694,2294200,1,12,16,20,49,54,2023-01-20,0,1,25.3
3693,29259283,18,19,32,33,37,49,2023-01-18,2,2,31.3
3692,27959107,15,37,42,43,49,51,2023-01-15,2,1,39.5
3691,12965055,5,10,14,15,22,40,2023-01-13,1,0,17.7
3690,24360905,12,13,17,28,29,53,2023-01-11,4,0,25.3
3689,32174710,30,31,33,35,37,46,2023-01-08,2,0,35.3
3688,2012530,1,10,16,26,49,50,2023-01-06,0,3,25.3
3687,1671235,1,8,16,27,37,49,2023-01-04,1,0,23
3686,26061963,13,22,25,43,51,54,2023-01-01,2,0,34.7
3685,7405124,3,7,8,26,31,48,2022-12-30,3,0,20.5
3684,29768933,19,21,22,27,45,54,2022-12-28,1,2,31.3
3683,23592865,11,16,19,22,25,47,2022-12-25,3,3,23.3
3682,15259675,6,11,16,25,27,45,2022-12-23,1,0,21.7
3681,7790745,3,8,34,40,48,52,2022-12-21,1,1,30.8
3680,8789057,3,16,20,24,49,51,2022-12-18,1,2,27.2
3679,20988781,9,16,17,33,46,49,2022-12-16,1,1,28.3
3678,1803648,1,9,12,24,26,28,2022-12-14,0,2,16.7
3677,22294901,10,15,21,25,26,28,2022-12-11,0,0,20.8
3676,12051033,4,31,36,38,42,55,2022-12-09,1,1,34.3
3675,2970833,1,18,35,53,55,56,2022-12-07,1,1,36.3
3674,8674323,3,15,17,24,49,53,2022-12-04,3,2,26.8
3673,23364392,11,14,15,21,24,51,2022-12-02,1,1,22.7
3672,15702255,6,14,27,37,42,54,2022-11-30,1,0,30
3671,14266842,5,25,28,34,36,38,2022-11-27,1,0,27.7
3670,9083467,3,20,22,26,45,50,2022-11-25,1,2,27.7
3669,8269799,3,11,29,33,44,45,2022-11-23,3,1,27.5
3668,21285169,9,19,33,38,40,50,2022-11-20,1,0,31.5
3667,13720845,5,16,18,22,31,32,2022-11-18,2,0,20.7
3666,19102575,8,12,34,37,45,54,2022-11-16,1,1,31.7
3665,10746918,4,11,12,23,48,52,2022-11-13,2,1,25
3664,9887884,4,6,15,33,34,56,2022-11-11,0,0,24.7
3663,23987353,11,21,32,39,43,49,2022-11-09,2,0,32.5
3662,6116236,2,18,28,30,50,53,2022-11-06,2,1,30.2
3661,30742360,21,28,37,39,43,54,2022-11-04,2,0,37
3660,10663289,4,10,18,32,48,50,2022-11-02,0,1,27
3659,10574977,4,9,43,44,45,46,2022-10-30,1,0,31.8
3658,3363196,1,28,30,31,48,49,2022-10-28,1,0,31.2
3657,20253876,9,10,15,24,53,56,2022-10-26,1,2,27.8
3656,22616040,10,19,22,28,48,56,2022-10-23,1,1,30.5
3655,17105563,7,10,34,37,50,52,2022-10-21,2,0,31.7
3654,31815718,26,31,36,38,39,40,2022-10-19,1,0,35
3653,13617656,5,15,16,41,44,45,2022-10-16,2,1,27.7
3652,12041216,4,30,39,41,43,49,2022-10-14,2,0,34.3
3651,9272988,3,23,44,46,50,54,2022-10-12,2,1,36.7
3650,31486647,24,30,33,38,39,46,2022-10-09,0,0,35
3649,15936228,6,17,20,21,31,55,2022-10-07,2,1,25
3648,3417428,1,31,34,38,44,50,2022-10-05,1,0,33
3647,19024726,8,12,17,27,32,47,2022-10-02,2,0,23.8
3646,24143310,11,25,33,36,38,49,2022-09-30,1,0,32
3645,13407193,5,13,17,21,28,45,2022-09-28,3,0,21.5
3644,3400345,1,30,32,33,34,48,2022-09-25,0,1,29.7
3643,1612847,1,8,11,25,40,56,2022-09-23,1,0,23.5
3642,11185749,4,14,19,20,31,42,2022-09-21,2,0,21.7
3641,3364048,1,28,30,35,38,56,2022-09-18,0,1,31.3
3640,28423859,16,24,37,38,40,47,2022-09-16,2,0,33.7
3639,22326427,10,15,27,32,50,54,2022-09-14,0,1,31.3
3638,4952029,2,9,11,22,31,32,2022-09-11,3,1,17.8
3637,25873234,13,19,20,27,32,40,2022-09-09,2,0,25.2
3636,10001947,4,7,8,22,24,31,2022-09-07,2,1,16
3635,12276227,5,6,20,24,40,52,2022-09-04,1,1,24.5
3634,27194087,14,34,40,42,46,56,2022-09-02,0,2,38.7
3633,31112595,22,38,40,41,42,53,2022-08-31,2,1,39.3
3632,21923444,10,12,16,39,42,52,2022-08-28,0,1,28.5
3631,6817081,3,4,16,28,34,38,2022-08-26,1,1,20.5
3630,16788273,7,9,11,12,38,40,2022-08-24,2,1,19.5
3629,21568265,9,26,29,31,34,45,2022-08-21,2,0,29
3628,22059009,10,13,18,22,35,55,2022-08-19,1,0,25.5
3627,3752495,2,3,29,34,54,56,2022-08-17,3,1,29.7
3626,226376,1,2,17,20,25,37,2022-08-14,3,2,17
3625,3007849,1,19,25,28,33,35,2022-08-12,1,2,23.5
3624,3121556,1,21,25,37,39,53,2022-08-10,2,1,29.3
3623,22490873,10,17,25,28,34,41,2022-08-07,2,0,25.8
3622,218791,1,2,16,22,43,48,2022-08-05,2,3,22
3621,2210263,1,11,22,43,44,45,2022-08-03,2,1,27.7
3620,15733594,6,15,16,28,43,56,2022-07-31,1,1,27.3
3619,4505377,2,6,30,32,38,49,2022-07-29,1,1,26.2
3618,15278394,6,11,18,27,41,47,2022-07-27,3,0,25
3617,12387735,5,7,10,36,48,52,2022-07-24,2,1,26.3
3616,2244571,1,11,32,33,48,50,2022-07-22,1,0,29.2
3615,25606394,13,15,30,36,42,47,2022-07-20,2,1,30.5
3614,5927777,2,16,21,29,36,45,2022-07-17,2,0,24.8
3613,28760598,17,19,33,41,52,54,2022-07-15,3,0,36
3612,5715061,2,14,18,34,37,40,2022-07-13,2,0,24.2
3611,28399143,16,24,26,32,41,53,2022-07-10,2,0,32
3610,11527835,4,17,35,43,46,48,2022-07-08,2,0,32.2
3609,12598953,5,8,12,14,25,33,2022-07-06,1,1,16.2
3608,2247404,1,11,33,39,45,48,2022-07-03,1,2,29.5
3607,1126217,1,5,38,42,45,51,2022-07-01,1,1,30.3
3606,20686134,9,13,18,19,23,38,2022-06-29,3,1,20
