CONCURSO,F1,F2,F3,F4,F5,F6,F7,FECHA,PRIMOS,REPETIDOS,MEDIA
1258,4,5,10,18,20,30,9,2022-10-08,1,1,14.5
1257,3,17,19,20,21,35,11,2022-10-04,3,3,19.2
1256,7,19,21,29,33,35,2,2022-10-01,3,2,24
1255,1,8,10,29,31,33,18,2022-09-27,2,2,18.7
1254,8,15,23,33,37,38,27,2022-09-24,2,1,25.7
1253,4,8,9,19,24,27,15,2022-09-20,1,1,15.2
1252,3,6,7,8,31,37,30,2022-09-17,4,1,15.3
1251,6,10,15,21,23,33,13,2022-09-13,1,0,18
1250,2,3,13,14,17,24,19,2022-09-10,4,0,12.2
1249,6,8,20,30,31,32,38,2022-09-06,1,1,21.2
1248,8,11,16,21,27,38,32,2022-09-03,1,1,20.2
1247,3,14,17,18,24,38,8,2022-08-30,2,1,19
1246,4,6,11,25,26,38,9,2022-08-27,1,1,18.3
1245,2,3,14,17,30,38,26,2022-08-23,3,1,17.3
1244,9,15,20,27,28,38,34,2022-08-20,0,0,22.8
1243,3,4,6,12,22,24,39,2022-08-16,1,0,11.8
1242,2,14,18,20,29,37,28,2022-08-13,3,0,20
1241,6,8,12,34,38,39,29,2022-08-09,0,1,22.8
1240,10,17,21,23,28,39,9,2022-08-06,2,1,23
1239,5,7,23,26,27,34,32,2022-08-02,3,0,20.3
1238,8,9,13,21,24,29,7,2022-07-30,2,1,17.3
1237,5,7,13,19,37,38,32,2022-07-26,5,0,19.8
1236,1,11,15,32,36,39,27,2022-07-23,1,0,22.3
1235,4,7,12,23,26,37,38,2022-07-19,3,2,18.2
1234,1,7,10,23,33,38,15,2022-07-16,2,1,18.7
1233,5,13,23,26,27,30,22,2022-07-12,3,2,20.7
1232,5,6,14,21,23,25,33,2022-07-09,2,0,15.7
1231,8,10,28,30,35,37,22,2022-07-05,1,1,24.7
1230,13,18,20,23,29,37,22,2022-07-02,4,1,23.3
1229,1,4,15,20,33,39,13,2022-06-28,0,1,18.7
1228,5,9,16,17,32,33,15,2022-06-25,2,1,18.7
1227,6,7,9,12,31,39,38,2022-06-21,2,1,17.3
1226,23,26,34,35,37,39,13,2022-06-18,2,2,32.3
1225,3,11,14,26,29,37,30,2022-06-14,4,3,20
1224,3,6,9,14,21,26,4,2022-06-11,1,2,13.2
1223,9,22,23,26,27,30,20,2022-06-07,1,1,22.8
1222,4,8,17,19,22,38,35,2022-06-04,2,0,18
1221,16,18,25,28,29,31,26,2022-05-31,2,2,24.5
1220,7,10,17,18,29,32,21,2022-05-28,3,2,18.8
1219,4,12,17,18,25,26,27,2022-05-24,1,2,17
1218,3,10,17,25,31,36,37,2022-05-21,3,0,20.3
1217,2,11,13,20,23,29,26,2022-05-17,5,1,16.3
1216,18,26,27,28,29,31,17,2022-05-14,2,2,26.5
1215,17,18,19,30,31,38,10,2022-05-10,3,0,25.5
1214,6,8,9,13,27,37,19,2022-05-07,2,1,16.7
1213,9,21,23,25,33,36,39,2022-05-03,1,1,24.5
1212,5,9,15,20,30,37,18,2022-04-30,2,1,19.3
