CONCURSO,F1,F2,F3,F4,F5,F6,FECHA
3455,3,21,25,39,43,48,2021-05-05
3454,10,25,26,30,40,46,2021-05-02
3453,3,18,21,27,49,56,2021-04-28
3452,6,13,43,45,49,50,2021-04-25
3451,35,40,43,44,46,47,2021-04-21
3450,14,15,19,40,43,56,2021-04-18
3449,5,11,14,15,41,48,2021-04-14
3448,10,15,18,25,44,54,2021-04-11
3447,2,22,26,28,44,47,2021-04-07
3446,8,9,17,27,45,51,2021-04-04
3445,11,19,21,36,47,53,2021-03-31
3444,8,13,16,17,48,54,2021-03-28
3443,2,18,30,31,45,47,2021-03-24
3442,17,20,32,35,39,54,2021-03-21
3441,2,10,13,14,51,55,2021-03-17
3440,6,7,28,43,44,52,2021-03-14
3439,20,22,25,50,52,55,2021-03-10
3438,2,10,14,15,24,48,2021-03-07
3437,4,10,13,14,22,37,2021-03-03
3436,1,12,22,25,35,51,2021-02-28
3435,18,20,26,32,42,55,2021-02-24
3434,1,10,28,51,54,56,2021-02-21
3433,2,19,38,40,44,54,2021-02-17
3432,4,7,12,25,26,35,2021-02-14
3431,6,14,16,24,27,45,2021-02-10
3430,16,35,37,42,46,48,2021-02-07
3429,6,9,26,51,52,54,2021-02-03
3428,7,18,19,29,40,56,2021-01-31
3427,6,15,17,25,32,41,2021-01-27
3426,10,14,23,29,48,49,2021-01-24
3425,10,12,21,31,34,43,2021-01-20
3424,4,22,29,41,48,51,2021-01-17
3423,8,22,29,34,42,50,2021-01-13
3422,14,24,28,38,44,48,2021-01-10
3421,2,5,6,23,28,50,2021-01-06
3420,3,6,19,46,47,54,2021-01-03
3419,13,24,26,40,43,55,2020-12-30
3418,6,16,32,36,54,55,2020-12-27
3417,10,15,31,33,42,46,2020-12-23
3416,3,5,8,28,52,56,2020-12-20
3415,2,10,16,23,27,30,2020-12-16
3414,12,14,24,32,53,54,2020-12-13
3413,1,5,8,15,25,28,2020-12-09
3412,8,10,16,27,30,56,2020-12-06
3411,4,5,22,28,41,42,2020-12-02
3410,20,31,35,40,42,53,2020-11-29
