NPRODUCTO,CONCURSO,R1,R2,R3,R4,R5,FECHA,PRIMOS
60,26180,3,3,9,8,8,2020-12-23,2
60,26179,3,9,2,4,9,2020-12-23,2
60,26178,8,2,6,5,6,2020-12-23,2
60,26177,5,1,8,9,2,2020-12-22,2
60,26176,8,1,0,1,6,2020-12-22,0
60,26175,9,3,8,0,5,2020-12-22,2
60,26174,0,1,6,8,8,2020-12-22,0
60,26173,0,5,5,3,0,2020-12-22,3
60,26172,8,3,6,3,9,2020-12-21,2
60,26171,2,3,7,9,6,2020-12-21,3
60,26170,6,1,9,6,6,2020-12-21,0
60,26169,3,6,2,8,7,2020-12-21,3
60,26168,8,3,8,2,2,2020-12-21,3
60,26167,5,7,6,7,1,2020-12-20,3
60,26166,9,2,9,9,2,2020-12-20,2
60,26165,6,6,5,9,3,2020-12-20,2
60,26164,9,9,8,1,7,2020-12-20,1
60,26163,8,7,3,3,2,2020-12-20,4
60,26162,7,5,5,6,7,2020-12-19,4
60,26161,1,4,9,6,2,2020-12-19,1
60,26160,2,2,7,0,4,2020-12-19,3
60,26159,2,2,6,0,7,2020-12-19,3
60,26158,9,6,0,5,8,2020-12-19,1
60,26157,9,2,3,9,7,2020-12-18,3
60,26156,9,4,5,2,6,2020-12-18,2
60,26155,0,1,7,3,9,2020-12-18,2
60,26154,4,5,2,3,7,2020-12-18,4
60,26153,0,0,9,2,8,2020-12-18,1
60,26152,1,0,5,8,5,2020-12-17,2
60,26151,8,5,1,1,7,2020-12-17,2
60,26150,4,1,0,4,5,2020-12-17,1
60,26149,4,0,1,5,4,2020-12-17,1
60,26148,1,3,7,4,4,2020-12-17,2
60,26147,8,6,3,1,9,2020-12-16,1
60,26146,6,0,5,9,2,2020-12-16,2
60,26145,6,9,9,8,5,2020-12-16,1
60,26144,9,3,0,7,7,2020-12-16,3
60,26143,2,4,9,0,8,2020-12-16,1
60,26142,9,1,2,1,9,2020-12-15,1
60,26141,0,3,5,6,6,2020-12-15,2
60,26140,1,3,1,2,5,2020-12-15,3
60,26139,9,3,9,5,0,2020-12-15,2
60,26138,9,3,1,3,2,2020-12-15,3
60,26137,1,5,6,7,4,2020-12-14,2
60,26136,4,9,8,8,7,2020-12-14,1
60,26135,3,4,7,8,8,2020-12-14,2
60,26134,7,6,9,6,9,2020-12-14,1
60,26133,9,0,3,5,2,2020-12-14,3
60,26132,5,1,5,5,8,2020-12-13,3
60,26131,9,0,2,1,7,2020-12-13,2
60,26130,8,7,0,5,7,2020-12-13,3
60,26129,6,2,5,8,3,2020-12-13,3
60,26128,5,5,2,3,6,2020-12-13,4
60,26127,0,0,5,5,9,2020-12-12,2
60,26126,0,4,8,6,6,2020-12-12,0
60,26125,6,9,7,4,1,2020-12-12,1
60,26124,6,9,2,5,9,2020-12-12,2
60,26123,3,0,4,7,0,2020-12-12,2
60,26122,7,1,0,0,3,2020-12-11,2
60,26121,2,1,9,6,4,2020-12-11,1
60,26120,4,4,1,2,6,2020-12-11,1
60,26119,4,0,7,1,2,2020-12-11,2
60,26118,5,1,0,7,6,2020-12-11,2
60,26117,9,6,0,0,5,2020-12-10,1
60,26116,0,8,7,6,0,2020-12-10,1
60,26115,2,8,8,4,5,2020-12-10,2
60,26114,7,6,7,7,5,2020-12-10,4
60,26113,6,1,9,0,6,2020-12-10,0
60,26112,8,0,9,4,1,2020-12-09,0
60,26111,7,0,9,3,7,2020-12-09,3
60,26110,6,7,2,6,9,2020-12-09,2
60,26109,2,8,3,7,1,2020-12-09,3
60,26108,7,8,9,0,9,2020-12-09,1
60,26107,9,2,2,1,3,2020-12-08,3
