CONCURSO,ID,F1,F2,F3,F4,F5,F6,F7,FECHA
1064,1117802,3,8,10,11,25,39,38,2020-11-28
1063,71479,1,3,4,20,22,33,23,2020-11-24
1062,944740,3,4,6,8,30,31,22,2020-11-21
1061,1241664,3,13,17,31,33,38,24,2020-11-17
1060,1513281,4,10,17,30,31,39,8,2020-11-14
1059,1459454,4,8,16,19,25,27,3,2020-11-10
1058,1945063,6,7,17,19,21,31,16,2020-11-07
1057,807579,2,10,15,21,28,31,5,2020-11-03
1056,2165815,7,8,11,27,34,39,32,2020-10-31
1055,699109,2,6,24,33,35,36,37,2020-10-27
1054,2009781,6,9,22,25,32,36,19,2020-10-24
1053,629380,2,5,9,13,19,31,35,2020-10-20
1052,986352,3,4,21,22,24,37,16,2020-10-17
1051,2949057,12,19,23,27,34,37,20,2020-10-13
1050,1404411,4,7,8,15,20,23,25,2020-10-10
1049,1490815,4,9,18,29,30,38,21,2020-10-06
1048,431309,1,13,19,35,36,38,21,2020-10-03
1047,423903,1,13,15,17,25,37,7,2020-09-29
1046,661398,2,6,7,12,18,29,25,2020-09-26
1045,1449092,4,8,12,13,14,29,26,2020-09-22
1044,3192382,18,19,28,29,32,37,25,2020-09-19
1043,1524637,4,11,13,17,28,38,25,2020-09-15
1042,1284251,3,17,20,25,35,39,8,2020-09-12
1041,2704815,10,12,23,27,33,36,26,2020-09-08
1040,3152195,16,21,26,28,31,34,11,2020-09-05
1039,2433893,8,12,15,20,23,35,1,2020-09-01
1038,375991,1,10,18,19,27,34,36,2020-08-29
1037,679785,2,6,11,27,32,37,17,2020-08-25
1036,990081,3,4,31,32,34,36,13,2020-08-22
1035,1459945,4,8,16,22,27,33,18,2020-08-18
1034,2014108,6,10,11,17,20,33,15,2020-08-15
1033,1242012,3,13,18,20,26,32,22,2020-08-11
1032,2871482,11,20,22,25,31,38,4,2020-08-08
1031,701647,2,7,8,11,27,30,24,2020-08-04
1030,2896503,12,13,20,25,26,27,24,2020-08-01
1029,808,1,2,3,5,13,16,6,2020-07-28
1028,2767288,10,19,20,21,24,25,39,2020-07-25
1027,148970,1,4,9,21,24,25,34,2020-03-31
1026,1861839,5,14,22,25,35,39,27,2020-03-28
1025,2896511,12,13,20,25,26,35,38,2020-03-24
1024,1288872,3,18,19,22,26,32,5,2020-03-21
1023,1416955,4,7,11,23,25,33,20,2020-03-17
1022,2648464,9,18,32,37,38,39,13,2020-03-14
1021,2660105,9,21,30,32,34,35,14,2020-03-10
1020,1436192,4,7,23,31,33,35,29,2020-03-07
1019,2823993,11,14,17,18,24,29,15,2020-03-03
1018,2316013,7,16,18,22,25,26,19,2020-02-29
1017,234305,1,6,9,13,15,19,35,2020-02-25
1016,1352197,4,5,16,29,31,32,6,2020-02-22
1015,2287185,7,13,21,25,30,33,24,2020-02-18
1014,1267683,3,15,20,22,26,29,33,2020-02-15
1013,346528,1,9,14,27,30,37,26,2020-02-11
1012,619816,2,5,7,10,21,39,29,2020-02-08
1011,2697371,10,12,16,23,26,30,32,2020-02-04
1010,3218715,19,23,26,31,35,36,24,2020-02-01
1009,205634,1,5,12,24,29,37,10,2020-01-28
1008,3257487,24,30,34,37,38,39,23,2020-01-25
1007,1604900,4,16,26,28,31,33,2,2020-01-21
1006,1189185,3,10,18,21,26,27,28,2020-01-18
1005,1574834,4,14,15,21,28,37,32,2020-01-14
1004,1539376,4,11,24,25,26,39,20,2020-01-11
1003,589276,2,4,10,28,33,39,3,2020-01-07
1002,2976085,13,14,21,30,31,33,22,2020-01-04
1001,2725479,10,14,16,29,33,35,31,2019-12-31
1000,564521,2,4,5,14,34,39,36,2019-12-28
999,3126735,15,26,34,37,38,39,10,2019-12-24
998,2015463,6,10,11,26,27,29,21,2019-12-21
997,314599,1,8,13,14,20,28,19,2019-12-17
996,1824294,5,12,14,32,34,39,19,2019-12-14
995,2384996,8,10,11,15,25,38,29,2019-12-10
994,1099528,3,7,14,19,22,38,33,2019-12-07
993,153841,1,4,11,12,27,36,24,2019-12-03
992,1469,1,2,3,6,18,34,11,2019-11-30
991,2136949,6,19,22,27,37,38,2,2019-11-26
990,752753,2,8,13,27,36,37,3,2019-11-23
989,2165755,7,8,11,26,36,38,3,2019-11-19
988,140687,1,4,7,23,25,27,8,2019-11-16
987,590290,2,4,11,14,22,33,21,2019-11-12
986,474496,1,17,25,30,32,33,21,2019-11-09
985,2197325,7,9,13,17,24,34,26,2019-11-05
984,1335342,4,5,10,15,26,27,7,2019-11-02
983,388529,1,11,13,28,33,36,2,2019-10-29
982,577765,2,4,8,10,14,16,30,2019-10-26
981,2009093,6,9,21,25,31,35,4,2019-10-22
980,339842,1,9,12,15,33,34,23,2019-10-19
979,1588191,4,15,17,18,23,36,13,2019-10-15
978,3192371,18,19,28,29,31,33,27,2019-10-12
977,2390587,8,10,13,15,32,34,37,2019-10-08
976,1689241,5,7,10,11,27,30,16,2019-10-05
975,1182782,3,10,14,23,26,33,13,2019-10-01
974,2906689,12,14,18,22,23,30,31,2019-09-28
973,364121,1,10,12,18,20,24,34,2019-09-24
972,1179713,3,10,13,18,26,34,33,2019-09-21
971,1217518,3,12,13,17,25,37,10,2019-09-17
970,1887305,5,17,20,28,30,36,25,2019-09-14
969,3180883,17,22,26,27,36,38,39,2019-09-10
968,2144001,6,21,22,30,32,38,8,2019-09-07
967,459419,1,15,33,35,38,39,32,2019-09-03
966,757195,2,8,15,30,32,37,31,2019-08-31
965,336473,1,9,11,14,20,22,7,2019-08-27
964,1661057,5,6,12,16,36,37,26,2019-08-24
963,3130053,16,17,19,25,26,37,30,2019-08-20
962,1679754,5,6,27,29,34,35,26,2019-08-17
961,2175498,7,8,15,25,31,35,11,2019-08-13
960,2608314,9,14,17,30,36,37,11,2019-08-10
959,1363876,4,6,7,15,16,25,34,2019-08-06
958,2398939,8,10,17,18,36,39,33,2019-08-03
957,3250261,23,24,25,26,28,30,19,2019-07-30
956,2989139,13,15,26,32,38,39,9,2019-07-27
955,721750,2,7,14,15,30,36,28,2019-07-23
954,1212825,3,11,21,23,24,38,35,2019-07-20
953,3233936,20,26,29,31,37,38,22,2019-07-16
952,153201,1,4,10,26,27,33,7,2019-07-13
951,69427,1,3,4,12,17,32,16,2019-07-09
950,2267463,7,12,17,21,24,37,14,2019-07-06
949,3173494,17,20,22,24,29,31,11,2019-07-02
948,312715,1,8,12,17,18,23,31,2019-06-29
947,1372879,4,6,9,16,27,33,24,2019-06-25
946,1978216,6,8,18,21,23,32,4,2019-06-22
945,329709,1,8,23,24,29,37,38,2019-06-18
944,935270,2,25,27,31,33,38,9,2019-06-15
943,1381033,4,6,11,23,28,35,22,2019-06-11
942,515709,2,3,6,9,21,34,31,2019-06-08
941,282603,1,7,12,25,29,35,15,2019-06-04
940,722566,2,7,14,19,24,37,5,2019-06-01
939,1848076,5,13,21,22,23,36,8,2019-05-28
938,1069628,3,6,17,24,25,33,5,2019-05-25
937,2394209,8,10,14,22,29,36,7,2019-05-21
936,591970,2,4,11,22,26,35,31,2019-05-18
935,2517871,8,22,23,24,35,37,17,2019-05-14
